"A","B","C","D","E"
"10","0.948901761","0.8836614352","0.8082109729","0.8115750059"
"50","0.9523080097","0.9561684305","0.9334872878","0.9370161075"
"100","0.948901761","1.093771781","1.106870544","0.9745116927"
"500","1.161068385","1.338854746","1.194791758","1.251881455"
"1000","1.383635868","1.648262406","1.493318608","1.321805484"
"1500","1.530711838","1.719248398","1.584557361","1.583085366"
"2000","1.697054892","1.880184553","1.706717782","1.752125307"
"2500","1.740520586","1.825166372","1.778585328","1.743117625"
"3000","1.935708748","","1.866582677","1.817961805"
"3500","1.865044722","","1.869818208","1.848743182"
"4000","1.890756252","","1.9785457","1.921946454"
"4500","1.910891089","","2.484925911","2.455636535"
"5000","2.463669068","","2.48945221","2.479560915"
