"A","B","C","D","E"
"10","1282.58","1046.29","1521.22","1473.99"
"50","1522.43","1650.77","1702.41","1882.62"
"100","1461.17","2062.46","1662.04","1580.75"
"500","1520.78","2692.68","2189.41","1952.76"
"1000","1595.49","2744.46","2071.56","1891.71"
"1500","1551.23","2573.44","2156.92","2080.56"
"2000","1488.89","3482.81","2217.23","2118.23"
"2500","1557.13","3195.87","2382.8","2096.23"
"3000","1633.19","3402.52","2353.33","2021.69"
"3500","1576.52","3786.83","2365","1994.38"
"4000","1675.81","3594.23","2272.4","2260.3"
"4500","1631.37","3252.35","2240.79","2264.22"
"5000","1619.9","3994.21","2437.61","2391.84"
